"","fips","beds_licensed","beds_staffed","beds_ICU","beds_ICU_adult","beds_ICU_pediatric"
"1777",40139,33,47,8,8,0
"1778",40143,4638,3026,344,344,120
"1779",40145,100,100,6,6,0
"1780",40147,140,81,14,14,0
"1781",40149,14,14,2,2,0
"1782",40151,25,25,4,4,0
"1783",40153,115,64,6,6,0
"1784",41001,36,21,2,2,0
"1785",41003,188,169,12,12,0
"1786",41005,699,570,70,70,20
"1787",41007,83,48,8,8,0
"1788",41011,218,166,18,18,0
"1789",41013,16,16,3,3,0
"1790",41015,24,16,3,3,0
"1791",41017,304,270,36,36,0
"1792",41019,190,156,35,35,0
"1793",41023,25,14,2,2,0
"1794",41025,25,19,2,2,0
"1795",41027,25,25,4,4,0
"1796",41029,595,458,34,34,0
"1797",41031,25,25,4,4,0
"1798",41033,125,121,12,12,0
"1799",41035,176,105,18,18,0
"1800",41037,24,24,4,4,0
"1801",41039,749,721,84,84,36
"1802",41041,50,50,8,8,0
"1803",41043,128,92,15,15,0
"1804",41045,49,44,8,8,0
"1805",41047,1120,1067,68,68,27
"1806",41049,21,21,4,4,0
"1807",41051,2987,2131,261,261,152
"1808",41053,25,15,3,3,0
"1809",41057,49,25,4,4,0
"1810",41059,114,66,11,11,0
"1811",41061,25,25,4,4,0
"1812",41063,25,23,4,4,0
"1813",41065,49,43,17,17,0
"1814",41067,933,872,69,69,47
"1815",41071,128,90,11,11,0
"1816",42001,76,76,8,8,0
"1817",42003,7101,6092,638,638,218
"1818",42005,147,131,12,12,0
"1819",42007,320,229,25,25,0
"1820",42009,40,40,4,4,0
"1821",42011,1326,1142,74,74,36
"1822",42013,518,496,42,42,0
"1823",42015,314,310,46,46,0
"1824",42017,1137,993,183,183,10
"1825",42019,296,267,35,35,0
"1826",42021,537,423,26,26,16
"1827",42025,159,68,6,6,0
"1828",42027,440,432,43,43,0
"1829",42029,1175,1133,105,105,18
"1830",42031,146,169,7,7,0
"1831",42033,266,241,22,22,16
"1832",42035,68,63,11,11,0
"1833",42037,166,143,22,22,0
"1834",42039,283,170,16,16,0
"1835",42041,683,612,61,61,5
"1836",42043,1395,1261,97,97,79
"1837",42045,1071,948,94,94,24
"1838",42047,35,25,4,4,0
"1839",42049,1160,1040,81,81,45
"1840",42051,224,210,26,26,0
"1841",42055,454,411,80,80,7
"1842",42057,21,21,4,4,0
"1843",42059,23,23,4,4,0
"1844",42061,71,57,7,7,0
"1845",42063,166,134,12,12,0
"1846",42065,84,69,9,9,0
"1847",42069,984,855,53,53,15
"1848",42071,1106,936,73,73,34
"1849",42073,153,206,12,12,0
"1850",42075,407,393,20,20,0
"1851",42077,1544,1624,181,181,50
"1852",42079,1162,974,74,74,14
"1853",42081,331,303,35,35,0
"1854",42083,138,138,10,10,0
"1855",42085,433,404,28,28,0
"1856",42087,123,109,10,10,0
"1857",42089,339,295,32,32,0
"1858",42091,3150,3023,289,289,31
"1859",42093,792,757,75,75,55
"1860",42095,906,774,54,54,16
"1861",42101,6833,5715,847,847,245
"1862",42105,49,25,4,4,0
"1863",42107,364,266,58,58,0
"1864",42111,185,148,23,23,0
"1865",42115,50,50,8,8,0
"1866",42117,25,25,6,6,0
"1867",42119,132,123,12,12,0
"1868",42121,158,118,8,8,0
"1869",42123,237,237,6,6,0
"1870",42125,578,448,55,55,0
"1871",42127,95,76,8,8,0
"1872",42129,974,794,77,77,0
"1873",42131,44,44,6,6,0
"1874",42133,967,808,93,93,44
"1875",44003,359,323,15,15,0
"1876",44005,129,102,10,10,0
"1877",44007,2700,2413,333,333,80
"1878",44009,225,154,17,17,0
"1879",45001,25,25,6,6,0
"1880",45003,273,204,35,35,0
"1881",45005,25,25,4,4,0
"1882",45007,721,460,25,25,0
"1883",45013,364,318,24,24,0
"1884",45015,50,0,32,32,0
"1885",45019,2130,1830,302,302,80
"1886",45021,125,44,12,12,0
"1887",45023,82,36,6,6,0
"1888",45025,59,48,6,6,0
"1889",45027,81,49,6,6,0
"1890",45029,135,102,8,8,0
"1891",45031,188,152,18,18,0
"1892",45033,79,72,6,6,0
"1893",45037,25,25,4,4,0
"1894",45041,1003,1011,135,135,48
"1895",45043,284,422,19,19,0
"1896",45045,2497,1419,150,150,70
"1897",45047,400,332,25,25,18
"1898",45049,32,32,6,6,0
"1899",45051,832,741,101,101,0
"1900",45053,41,41,4,4,0
"1901",45055,119,121,10,10,0
"1902",45057,274,208,20,20,0
"1903",45059,76,43,9,9,0
"1904",45063,630,558,39,39,0
"1905",45067,124,94,10,10,0
"1906",45071,90,48,7,7,0
"1907",45073,169,122,21,21,0
"1908",45075,301,266,20,20,0
"1909",45077,164,131,20,20,0
"1910",45079,2171,2054,144,144,142
"1911",45083,932,796,49,49,27
"1912",45085,283,173,17,17,0
"1913",45087,85,49,6,6,0
"1914",45089,25,25,4,4,0
"1915",45091,338,318,24,24,0
"1916",46005,25,25,6,6,0
"1917",46007,14,14,2,2,0
"1918",46009,45,50,8,8,0
"1919",46011,49,49,9,9,0
"1920",46013,157,97,14,14,0
"1921",46015,25,25,4,4,0
"1922",46023,37,37,6,6,0
"1923",46027,25,25,4,4,0
"1924",46029,81,81,8,8,0
"1925",46033,11,11,2,2,0
"1926",46035,50,50,8,8,0
"1927",46037,25,20,3,3,0
"1928",46039,10,10,2,2,0
"1929",46043,11,11,2,2,0
"1930",46045,12,12,2,2,0
"1931",46047,25,25,4,4,0
"1932",46049,12,12,2,2,0
"1933",46051,25,25,4,4,0
"1934",46053,41,41,7,7,0
"1935",46055,18,18,3,3,0
"1936",46059,11,25,4,4,0
"1937",46065,50,50,6,6,0
"1938",46067,50,50,8,8,0
"1939",46073,16,16,3,3,0
"1940",46077,6,6,1,1,0
"1941",46079,22,22,4,4,0
"1942",46081,62,45,5,5,0
"1943",46083,64,64,11,11,0
"1944",46089,4,4,1,1,0
"1945",46091,20,20,3,3,0
"1946",46093,79,79,3,3,0
"1947",46099,1197,1036,110,110,43
"1948",46101,18,18,3,3,0
"1949",46102,45,45,8,8,0
"1950",46103,449,403,108,108,28
"1951",46107,6,10,2,2,0
"1952",46109,25,25,4,4,0
"1953",46115,25,23,4,4,0
"1954",46121,35,35,6,6,0
"1955",46123,25,25,4,4,0
"1956",46125,12,12,2,2,0
"1957",46127,38,38,7,7,0
"1958",46129,25,25,4,4,0
"1959",46135,242,168,12,12,0
"1960",46137,8,8,1,1,0
"1961",47001,317,220,25,25,0
"1962",47003,60,44,8,8,0
"1963",47005,25,25,4,4,0
"1964",47007,25,25,4,4,0
"1965",47009,459,348,8,8,0
"1966",47011,251,183,27,27,0
"1967",47013,120,81,10,10,0
"1968",47015,60,30,5,5,0
"1969",47017,70,42,7,7,0
"1970",47019,121,109,8,8,0
"1971",47021,12,12,2,2,0
"1972",47025,85,33,5,5,0
"1973",47029,74,32,5,5,0
"1974",47031,160,123,22,22,0
"1975",47035,189,73,12,12,0
"1976",47037,4372,3131,604,604,239
"1977",47039,40,40,7,7,0
"1978",47041,71,52,4,4,0
"1979",47043,157,91,6,6,0
"1980",47045,225,109,14,14,0
"1981",47051,152,131,10,10,0
"1982",47053,70,47,3,3,0
"1983",47055,95,81,6,6,0
"1984",47059,240,189,17,17,0
"1985",47063,167,116,20,20,0
"1986",47065,1735,1703,188,188,110
"1987",47067,10,10,2,2,0
"1988",47069,238,175,4,4,0
"1989",47071,58,49,9,9,0
"1990",47073,50,32,6,6,0
"1991",47077,45,36,6,6,0
"1992",47079,142,64,11,11,0
"1993",47081,25,25,4,4,0
"1994",47083,25,25,4,4,0
"1995",47085,25,25,4,4,0
"1996",47089,58,58,6,6,0
"1997",47091,2,2,1,1,0
"1998",47093,1733,1650,260,260,84
"1999",47097,25,25,4,4,0
"2000",47099,99,89,6,6,0
"2001",47103,59,49,6,6,0
"2002",47105,50,30,5,5,0
"2003",47107,118,88,4,4,0
"2004",47111,25,25,4,4,0
"2005",47113,900,870,89,89,34
"2006",47117,25,25,4,4,0
"2007",47119,271,281,41,41,0
"2008",47123,59,59,10,10,0
"2009",47125,337,301,21,21,13
"2010",47131,173,63,11,11,0
"2011",47133,114,90,6,6,0
"2012",47135,53,21,4,4,0
"2013",47141,285,247,38,38,0
"2014",47143,25,25,3,3,0
"2015",47145,54,52,6,6,0
"2016",47147,109,109,8,8,0
"2017",47149,838,759,82,82,25
"2018",47151,25,25,4,4,0
"2019",47155,79,58,16,16,0
"2020",47157,4052,3283,353,353,220
"2021",47159,25,25,2,2,0
"2022",47163,1211,851,101,101,20
"2023",47165,265,255,38,38,6
"2024",47167,100,47,8,8,0
"2025",47169,25,25,4,4,0
"2026",47171,48,10,3,3,0
"2027",47177,125,100,8,8,0
"2028",47179,607,561,77,77,39
"2029",47181,80,30,5,5,0
"2030",47183,156,94,7,7,0
"2031",47185,60,32,4,4,0
"2032",47187,310,305,29,29,0
"2033",47189,170,170,12,12,0
"2034",48001,156,150,10,10,0
"2035",48003,34,30,5,5,0
"2036",48005,465,367,43,43,15
"2037",48013,67,67,6,6,0
"2038",48015,30,32,6,6,0
"2039",48017,25,25,4,4,0
"2040",48021,8,8,1,1,0
"2041",48023,25,27,5,5,0
"2042",48025,69,40,8,8,0
"2043",48027,1125,1129,95,95,72
"2044",48029,5861,6439,659,659,445
"2045",48035,25,25,4,4,0
"2046",48037,821,679,71,71,8
"2047",48039,267,183,19,19,0
"2048",48041,684,579,85,85,16
"2049",48043,25,25,3,3,0
"2050",48049,188,77,12,12,0
"2051",48051,25,15,3,3,0
"2052",48053,71,71,12,12,0
"2053",48055,58,57,10,10,0
"2054",48057,25,25,6,6,0
"2055",48061,1374,1173,105,105,78
"2056",48063,25,25,4,4,0
"2057",48069,17,17,3,3,0
"2058",48071,14,14,2,2,0
"2059",48073,388,346,10,10,0
"2060",48075,39,39,7,7,0
"2061",48077,25,25,4,4,0
"2062",48079,18,18,3,3,0
"2063",48083,25,25,4,4,0
"2064",48085,2571,2169,276,276,168
"2065",48087,13,13,2,2,0
"2066",48089,65,61,11,11,0
"2067",48091,208,192,24,24,16
"2068",48093,25,25,4,4,0
"2069",48095,16,16,3,3,0
"2070",48097,78,54,8,8,0
"2071",48099,25,25,4,4,0
"2072",48103,25,25,4,4,0
"2073",48107,25,25,4,4,0
"2074",48109,14,14,2,2,0
"2075",48113,8257,7065,755,755,495
"2076",48115,21,22,4,4,0
"2077",48117,42,30,5,5,0
"2078",48121,1484,1272,156,156,31
"2079",48123,49,44,8,8,0
